year,batch_size,instances
2014,2387,1
2014,60185,1
2014,2389,2
2014,5003,2
2014,5002,3
2014,2467,1
2014,5000,4
2014,5007,1
2014,5006,1
2014,5005,1
2014,3259,1
2014,2762,1
2014,5009,2
2014,23005,1
2014,17429,1
2014,13088,1
2014,902,1
2014,903,2
2014,900,6
2014,901,2
2014,906,2
2014,907,3
2014,904,2
2014,13530,1
2014,1843,1
2014,1842,3
2014,1841,1
2014,909,2
2014,1847,1
2014,1846,1
2014,4424,1
2014,4425,1
2014,4959,1
2014,2169,1
2014,2168,1
2014,1943,3
2014,241,13
2014,2161,1
2014,1940,1
2014,2162,3
2014,2616,1
2014,2615,1
2014,2614,2
2014,2610,1
2014,21401,1
2014,7344,1
2014,3298,1
2014,3299,1
2014,1908,1
2014,1906,1
2014,1907,1
2014,3296,1
2014,1905,2
2014,3291,1
2014,3292,1
2014,3293,1
2014,854,3
2014,855,4
2014,856,2
2014,857,2
2014,850,5
2014,851,2
2014,852,2
2014,853,2
2014,858,4
2014,859,2
2014,6,1275
2014,1173,1
2014,12330,1
2014,14968,1
2014,20552,1
2014,10242,1
2014,7004,1
2014,14817,1
2014,14819,1
2014,740,7
2014,741,2
2014,742,1
2014,743,8
2014,744,6
2014,745,3
2014,746,2
2014,747,3
2014,748,2
2014,749,5
2014,3062,1
2014,14353,1
2014,3067,1
2014,2949,1
2014,2946,3
2014,3069,1
